obscode,lat,lon,elevation,name
000,51.2911818201113,0.0,-1.9886195864528418,Greenwich
001,50.86146347376318,0.1542,198.1229522069916,Crowborough
002,51.56620156177409,0.62,3009.888771912083,Rayleigh
003,43.54479242994257,3.9,2427.3200699668378,Montpellier
004,43.41874171501379,1.4625,105.28013110905886,Toulouse
005,48.6143230012601,2.231,86.84579937439412,Meudon
006,41.22775110643352,2.12417,302.2437592772767,"Fabra Observatory, Barcelona"
007,48.64583567999229,2.33675,-10.540888773277402,Paris
008,36.61773268681091,3.0355,255.89336357079446,Algiers-Bouzareah
009,46.75908566062649,7.4417,-180.08585812803358,Berne-Uecht
010,43.55854341702571,6.92124,1194.4471772219986,Caussols
011,47.12577864951021,8.7975,478.90534183662385,Wetzikon
012,50.60993500170075,4.35821,35.80814658943564,Uccle
013,51.968417933955934,4.48397,-66.11125032790005,Leiden
014,43.113928168004186,5.39509,-2.477562596090138,Marseilles
015,51.89851708294997,5.12929,-64.06478055287153,Utrecht
016,47.05702371409451,5.9893,216.66798292007297,Besancon
017,49.972232975720146,6.84924,434.2037265431136,Hoher List
018,51.0161620784485,6.7612,-34.84536664001644,Dusseldorf-Bilk
019,46.80492228423695,6.9575,439.73135059699416,Neuchatel
020,43.52760369608864,7.3004,318.68194601964206,Nice
021,48.833192879000066,8.3855,53.126242882572114,Karlsruhe
022,44.845406624889534,7.7748,584.3758928785101,Pino Torinese
023,49.893164799992086,8.2625,142.30866510234773,Wiesbaden
024,49.2056154458351,8.7216,497.7074628388509,Heidelberg-Konigstuhl
025,48.59197764725,9.1965,264.16686760261655,Stuttgart
026,46.68517410505461,7.46511,826.26035092026,Berne-Zimmerwald
027,45.27512497123765,9.1912,73.14124473370612,Milan
028,49.60095632447537,9.9363,115.59629101958126,Wurzburg
029,53.29653410306918,10.2406,-45.484205768443644,Hamburg-Bergedorf
030,43.55854341702571,11.25446,94.21854472253472,"Arcetri Observatory, Florence"
031,50.188238064484466,11.18985,558.3226523268968,Sonneberg
032,50.736558674424664,11.58295,81.58255544863641,Jena
033,50.79156262275722,11.71124,278.40552952419966,"Karl Schwarzschild Observatory, Tautenburg"
034,41.731381008353516,12.45246,31.287578385323286,"Monte Mario Observatory, Rome"
035,55.50757823447903,12.57592,-52.63803691603243,Copenhagen
036,41.55662888083861,12.6504,361.38279726170003,Castel Gandolfo
037,42.46763177509662,13.7333,357.36775238625705,"Collurania Observatory, Teramo"
038,45.45274188772821,13.7704,-6.625166547484696,Trieste
039,55.51961034817677,13.1874,-45.882457569241524,Lund
040,50.84427473990926,13.729800000000001,91.69362025894225,"Lohrmann Institute, Dresden"
041,47.07650427912896,11.38083,540.9175297450274,Innsbruck
042,52.193590347442345,13.06428,22.558252781629562,Potsdam
043,45.67390359664871,11.52643,1017.9665057109669,"Asiago Astrophysical Observatory, Padua"
044,40.674273876337146,14.2559,76.29044555593282,"Capodimonte Observatory, Naples"
045,48.04251112171953,16.339,207.60514835640788,Vienna (since 1879)
046,48.67276469636344,14.2881,991.238822368905,"Klet Observatory, Ceske Budejovice"
047,52.21364387027192,16.8782,22.168784986250103,Poznan
048,49.987702836188674,15.8408,200.718599117361,Hradec Kralove
049,59.32977968579675,17.6067,-47.28553453925997,Uppsala-Kvistaberg
050,59.17508108111142,18.0582,-11.485195911489427,Stockholm (before 1931)
051,-33.75867328910811,18.4766,-48.83569681737572,"Royal Observatory, Cape of Good Hope"
052,59.10059656774442,18.3083,-16.93095059413463,Stockholm-Saltsjobaden
053,47.30912514395207,18.9642,420.88727893773466,"Konkoly Observatory, Budapest (since 1934)"
054,55.445125834809765,11.6654,15.460588472895324,Brorfelde
055,49.875976066138165,19.959600000000002,113.65390599146485,Cracow
056,48.99935063958801,20.245,1731.4901376301423,Skalnate Pleso
057,44.6104939288859,20.5133,214.16000761277974,Belgrade
058,54.52839336260045,20.495,-39.774570459499955,Kaliningrad
059,49.005080217539316,20.2201,2558.303325075656,Lomnicky Stit
060,51.90424666090128,21.42,68.13005807902664,Warsaw-Ostrowik
061,48.44243566272085,22.2985,111.76935650687665,Uzhgorod
062,60.28661920366522,22.2293,-54.45315663423389,Turku
063,60.25224173595738,22.445,-10.699259514920413,Turku-Tuorla
064,60.25224173595738,22.75,-10.699259514920413,Turku-Kevola
065,47.670088554884494,12.6318,547.5431321179494,Traunstein
066,37.78599363108266,23.71817,26.232952063903213,Athens
067,49.641063370134525,24.0297,279.63932866137475,Lvov University Observatory
068,49.64679294808584,24.0142,269.6341255819425,Lvov Polytechnic Institute
069,56.59677100302272,24.4042,12.639728635549545,Baldone
070,54.499745472843905,25.2865,36.19463834632188,Vilnius (before 1939)
071,41.50219789030118,24.73782,1669.1651844745502,"NAO Rozhen, Smolyan"
072,50.99324376664327,7.17,-4000.222703512758,Scheuren Observatory
073,44.22088262819694,26.0967,14.588901914656162,Bucharest
074,-28.87707287459349,26.4058,1356.1913175061345,"Boyden Observatory, Bloemfontein"
075,58.206782407340334,26.7216,7.6134469117969275,Tartu
076,-25.622672598250418,27.8768,1189.0728375110775,Johannesburg-Hartbeespoort
077,-26.035202210744607,28.0292,1717.4055556124076,"Yale-Columbia Station, Johannesburg"
078,-26.0294726327933,28.075,1778.871192201972,Johannesburg
079,-25.63986133210434,28.2288,1509.1306839725003,"Radcliffe Observatory, Pretoria"
080,40.823242903071154,28.9667,-19.951558862812817,Istanbul
081,-25.622672598250418,27.8768,1189.0728375110775,"Leiden Station, Johannesburg"
082,47.89927167293682,15.7561,498.804833708331,St. Polten
